annotation	Annotation
assembly	Assembly
bg-test-tools	Test Tools
cellorganizer	CellOrganizer
chemicaltoolbox	ChemicalToolBox
collection_operations	Collection Operations
convert_formats	Convert Formats
deeptools	deepTools
display_data	Graph/Display Data
dna_methylation	DNA methylation
emboss_tools	EMBOSS Tools
epigenetics	Epigenetics
evolution	Evolution
extract_features	Extract Features
fasta_fastq_manipulation	FASTA/FASTQ manipulation
fetch_alignments	Fetch Alignments
filter_and_sort	Filter and Sort
gatk	GATK Tools
gemini	Gemini Tools
get_data	Get Data
graphclust	GraphClust
graph/display_data	Graph/Display Data
join,_subtract_and_group	Join, Subtract and Group
mapping	Mapping
metabolomics	Metabolomics
metagenomic_analyses	Metagenomic analyses
mothur	mothur
motif_tools	Motif Tools
multiple_alignments	Multiple Alignments
ncbi_blast	NCBI Blast
ngs:_assembly	NGS: Assembly
ngs:_mapping	NGS: Mapping
ngs:_other_tools	Other Tools
ngs:_qc_and_manipulation	NGS: QC and manipulation
ngs:_rna_analysis	NGS: RNA Analysis
ONTO-ToolKit	OBO Ontology manipulation
operate_on_genomic_intervals	Operate on Genomic Intervals
peak_calling	Peak Calling
phenotype_association	Phenotype Association
picard	Picard
proteomics	Proteomics
qiime	Qiime
quality_control	Quality Control
rad_seq	RAD-seq
regional_variation	Regional Variation
rna_analysis	RNA Analysis
sam_tools	SAM Tools
send_data	Send Data
statistics	Statistics
text_manipulation	Text Manipulation
unix_tools	Unix Tools
variant_calling	Variant Calling
